heroId,chain
1000000008850,dfkchain
1000000008972,dfkchain
1000000008978,dfkchain
1000000008986,dfkchain
1000000009039,kaia
1000000009065,dfkchain
1000000009086,kaia
1000000009092,dfkchain
1000000009098,dfkchain
1000000009141,dfkchain
1000000009207,dfkchain
1000000009243,dfkchain
1000000009315,dfkchain
1000000009320,dfkchain
1000000009350,dfkchain
1000000009356,dfkchain
1000000009362,dfkchain
1000000009376,dfkchain
1000000009405,dfkchain
1000000009426,dfkchain
1000000009467,kaia
1000000009550,kaia
1000000009660,kaia
1000000009688,dfkchain
1000000009705,dfkchain
1000000009724,dfkchain
1000000009742,dfkchain
1000000009762,dfkchain
1000000009780,dfkchain
1000000009816,dfkchain
1000000009864,kaia
1000000009922,dfkchain
1000000009970,dfkchain
1000000009985,kaia
1000000010028,dfkchain
1000000010030,kaia
1000000010115,dfkchain
1000000010118,dfkchain
1000000010134,dfkchain
1000000010166,dfkchain
1000000010200,dfkchain
1000000010204,dfkchain
1000000010248,dfkchain
1000000010268,dfkchain
1000000010278,dfkchain
1000000010311,dfkchain
1000000010554,dfkchain
1000000010557,dfkchain
1000000010564,kaia
1000000010603,dfkchain
1000000010629,dfkchain
1000000010644,dfkchain
1000000010656,kaia
1000000010664,dfkchain
1000000010732,dfkchain
1000000010734,dfkchain
1000000010756,dfkchain
1000000010815,dfkchain
1000000010937,kaia
1000000010997,dfkchain
1000000011036,dfkchain
1000000011052,dfkchain
1000000011125,dfkchain
1000000011135,dfkchain
1000000011150,dfkchain
1000000011162,kaia
1000000011196,dfkchain
1000000011253,dfkchain
1000000011302,kaia
1000000011329,dfkchain
1000000011363,dfkchain
1000000011373,dfkchain
1000000011454,dfkchain
1000000011464,dfkchain
1000000011488,dfkchain
1000000011497,kaia
1000000011555,dfkchain
1000000011626,kaia
1000000011646,dfkchain
1000000011650,dfkchain
1000000011659,dfkchain
1000000011702,dfkchain
1000000011708,dfkchain
1000000011747,dfkchain
1000000011770,dfkchain
1000000011800,dfkchain
1000000011802,dfkchain
1000000011807,dfkchain
1000000011812,dfkchain
1000000011859,dfkchain
1000000011866,dfkchain
1000000011882,dfkchain
1000000011886,dfkchain
1000000011907,kaia
1000000011927,dfkchain
1000000011958,dfkchain
1000000012024,dfkchain
